tweet_id,sentiment,tweet,username
1201248964869260000,Pos,ብልፅግና ፓርቲ አዲስ ፓርቲ እንጂ የኢሕአዴግ ውህድ አይደለም ኦቦ በቀለ ገርባ ለ ኦ ኤም ኤን የሰጡት አስተያየት,736150987
1201509832836150000,Nuet,ለሚሾ አንተ “ ተከብቤአለሁ” በልና አየሩን ይዘህ አዳሜን አፍዝዝ አደንግዘውም። እኔም ይሄ ብልጽግና ፒፒ ከተሳካ መልካም ካልተሳካም ያው…,918417677
1201248222569730000,Mix,እኔ እስካሁን ገርሞኛል፥ ያ መሪያቸው ውጪ ስለሆነ ግራ ተጋብተው ይሆናል,918417677
1201173233288060000,Nuet,የጉዞ ማስታወሻ፣ዓፋር   በዓፋር የሚገፕው በኣለም ሞቃታማ ስራ ተብሎ የተሰየመው የኤርታዕሌ እሳተ ገሞራ ለማየት ፍቃድ ካላቸው የጉዞ ወኪሎች ውጪ መጓዝ ኣይመከርም.ጉዞው  ጥንቃቄ የሚፈልግ…,918417677
1201016836353070000,Nuet,የመደመር ዓላማ ሀገራችን ባለፉት ዓመታት ያስመዘገበቻቸውን ድሎች ጠብቆና ስህተቶችን አርሞ የመጻኢውን ትውልድ ጥቅም ማረጋገጥ ነው ብለዋል። ክቡር አምባሳደሩ መድረኩ በጋራ ሀገራዊ ጉዳ…,918417677
1201471092558320000,Nuet,በጣና ሀይቅ ውስጥ የሚገኙ የተለያዩ ገዳማት በጀልባ በታገዙ ሌቦች በተደጋጋሚ እየተዘረፉ ነው! ለሀገር ዘርፈ ብዙ ጥቅም ሊሰጡ የሚችሉ የአባቶች ጥበብን የያዙ መፅሐፍት የት እ…,918417677
1201310835508830000,Nuet,ምንም የለም። የኦሮሞ ህዝብ ከተቀረው የኢትዮጵያ ህዝብ የተለየ ጥያቄና ፍላጎት ሊኖረው አይችልም። ሁለት መልስ አለው። አንዱ የዘውግ ብሔርተኞች ሌላኛው ደግሞ…,918417677
1201221230600310000,Nuet,ፀዲ ግን ሙዷ ከባድ ነዉ ???♂️,918417677
1200981527590510000,Mix,እኔ ከውሸታም ይልቅ ደግሞ የወንድ ቆንጆ ይመቸኛል። ሌሎቹ ከፊልም ማጀቢያነት ያለፈ ሚናም ያላቸው አይመስለኝም።  ኦቨርሬትድ ማለት የተሰቀለችበት ጣሪያ አይገባትም ማ…,918417677
1201203533481210000,Pos,የአሰልጣኞች አስተያየት | ወልቂጤ ከተማ 0-0 ቅዱስ ጊዮርጊስ,781001984
1201191107880790000,Mix,የ28 ዓመቱ ከፋፋይ ፣ ጨቋኝና አፋኝና የውክልና ስርዓት ከዛሬ ጀምሮ ላይመለስ ተቀበረ!! እነሆ በህዋህት ምክንያት በኢትዮጵያ ላይ ተጭኖ የነበረው ጥቁር ሸማ ዛሬ በይፋ ተቀደደ፡,918417677
1201428893674220000,Mix,ኦሮሞ ከኦዴፖ ምንም አይጠብቅም ሄዶ ከሚኒሊክ ሃውልት የምልክት  ኦሮሞ ራሱን በራሱ በልጆቹ ደም ራሱን ነፃ ይወጣል።የኦሮሞ ነፃ መውጠት ሩቅ አይደለም ከማንም ምንም አንጠብቅም,918417677
