tweet_id,tweet
1201506423869440000,የመጨረሻኮ እግዜርን የሆነ ክፉ ነውሚያረጉት ???♀️ ....and he is not ???? !!!
1213913801625600000,ምርጥ ልጅ ነው ጌች እንኳንም መልሰህ ተከተልከው
1213957559444480000,በትክክል አይቆጥርም ነው ወይሰ በትክክ መብራት የለም ነው?
1214797595345920000,ከአክሱም ሐውልቶች መካከል 24 ሜትር ርዝመት ያለውና ‹‹ቁጥር ሦስት›› በመባል የሚታወቀው ሃውልት ጥገናው በጥር ወር መጨረሻ ላይ እንደሚጀመር የቅርስ ጥናትና ጥበቃ ባለስልጣን አስታ…
1213253821511680000,ጌታ ሆይ አብሮን ስለተማረ ሰው መርዶ አትንገረኝ አንትሽ:: አማንን አስታወስኩት አሁን ገና ሰማሁኝ ስለሆነው ነገር
1213936043407360000,እኔ መሳቅ አልችልም! ሻራኣኣኣፕ
1214124069160960000,ማርያምም አለች።  ነፍሴ ጌታን ታከብረዋለች መንፈሴም በአምላኬ በመድኃኒቴ ሐሴት ታደርጋለች የባሪያይቱን ውርደት ተመልክቶአልና እነሆም ከዛሬ ጀምሮ ትውልድ ሁሉ ብፅዕ…
1214869394360320000,ከአሜሪካ የውጭ ፖሊሲ ጋር አትጣላ። ??
1215397887150080000,ጀዋር የኦሮሞ  ነፃ ኣውጪ የቄሮ መሪ ነኝ እያልክ ቡፋህን በጠራራ ፀሃይ ደለቅክ ሃቁ ግን ለኦሮሞ  ህዝብ መጮህ የነበረብህ ኣሁን ነበር። ከኣሁን ወድያ ተኩላ ብየሃለሁ።
1213753497553920000,ሰዎች ከአሁን በኋላ ቤተመንግስት የሚገቡት 200 ብር ከፍለው ነው ??
1213796319925620000,እንኳን ለጌታችን ለመዳኒታችን ለኢየሱስ ክርስቶስ የልደት በአል በሰላም አደረሳችሁ
1215447159048290000,ኩራት ወንድምን በመግደል ፥ በማሰር ፥ በማሰቃየት እና ሀገር በመዝረፍ ሆነ እንዴ?
1214195653280170000,እንኳን አደረሰህ ታላቁ መታዘዝ ከምጽዋት ይበልጣል የኛ ብርቱ
1214184370602410000,የማንነት ቀውሥ ውስጥ ካሉ ሰዎች የመጀመሪያዋ አሥቴር በdhaኔ ነት !!! እጅግም ታነድደኝ ነበር !! ከትላት በኊላ ግን ይቅር ብያታለሁ !!! የፈለግሽውን በይ አሥቱካ እኔ አልቀየም…
1213310130848170000,ያንኑ የፈረደበት ባንዲራ ተሸካሚ አማራ ድምፅ ለማግኘት በነገራችን ላይ ስንት ቤተክርስቲያን ሲቃጠልና ሠዉ ሲገደል ያልሄደዉ ኢዜማ ሞጣ ሄዳ መስኪዱን ጎበኘ አሉ
1201087596811690000,After watching this everyone say OMG????????  በጣም ደጋግሜ ሰማሁዋት ያሳቅቃል????????????  በጣሽ ደግሞ ታስቃለች ብቻ አላቅም ያልሰማችሁት ስሞት??????????......…
1214964259047850000,ይህ ሰው ጁዋር ለኢትዮጵያ ሕልውና አደጋ giነው እና ለምርጫ ከመግባቱ ከእዚህ ቀደም ይጠቀምበት የነበረው ኢሜል እና ይዘቱ ለህዝብ ይፋ መሆን አለበት ። እውነተኛ ጁዋር የሚገኘው እዛ ውስጥ ነው
1215966419483050000,ምንያድርግ? ደረቅ ማስተባበያም ፅናቱን ይስጠው ማለሳለሻም እኔ አይገባኝም።  የህዝቡን ደህንነት መጠበቅ ግዴታው ነውውውውው! ቤ/ክ | መስጊድኮ አይደለም በልመና አይሆንም የኃላፊነት…
1215068855535460000,እኛ አረም ፣ ቅጠላ ቅጠልና ስራ ስር እየበላንም አይደል ከባድ ሚዛን የሆነው ??????
1215108536272740000,ኧረ እኔን ጨምሮ ብዙና እልፍ አእላፍ ወንዶች አለን። ቀልብ መግፈፍ ግን ደስ ይለኛል ፣ ስለ ባል ምርጫው መልካም ዕድል ??????
1213780349861290000,ስለ አስትሮ መጥፎ ወሬ መናገሩን ይቀጥሉ እና ቤተሰብዎን እበላለሁ
1214029084726100000,ማጭበርበሩ ነው እንጂ የሚያስጠላው በግልጽ  ለአማራ ቢሰራ  ምን ችግር አለው?
1214228976694100000,ለኔ ግን በራሱ ላይ መቀለድ ስለሚችልና ሲቀድበትም ቀልድን እንደቀልድ መረዳት ስለሚችል ይመስለኛል።
